Date,IPI,IPI_TTM
1919-01-01,4.8665,
1919-02-01,4.6514,
1919-03-01,4.517,
1919-04-01,4.5976,
1919-05-01,4.6245,
1919-06-01,4.9203,
1919-07-01,5.216,
1919-08-01,5.2967,
1919-09-01,5.1891,
1919-10-01,5.1354,
1919-11-01,5.0547,
1919-12-01,5.1354,59.2046
1920-01-01,5.6193,59.9574
1920-02-01,5.6193,60.92530000000001
1920-03-01,5.5118,61.9201
1920-04-01,5.216,62.5385
1920-05-01,5.3505,63.264500000000005
1920-06-01,5.4042,63.7484
1920-07-01,5.2698,63.8022
1920-08-01,5.2967,63.8022
1920-09-01,5.1085,63.7216
1920-10-01,4.8934,63.479600000000005
1920-11-01,4.4901,62.915
1920-12-01,4.2212,62.000800000000005
1921-01-01,3.9792,60.3607
1921-02-01,3.8986,58.64
1921-03-01,3.791,56.919200000000004
1921-04-01,3.791,55.4942
1921-05-01,3.8986,54.0423
1921-06-01,3.8717,52.509800000000006
1921-07-01,3.8448,51.0848
1921-08-01,3.9792,49.7673
1921-09-01,4.0061,48.6649
1921-10-01,4.2481,48.0196
1921-11-01,4.1943,47.723800000000004
1921-12-01,4.1674,47.67
1922-01-01,4.3288,48.0196
1922-02-01,4.517,48.638
1922-03-01,4.7589,49.6059
1922-04-01,4.5976,50.4125
1922-05-01,4.8396,51.353500000000004
1922-06-01,5.0816,52.5634
1922-07-01,5.0816,53.8002
1922-08-01,4.974,54.795
1922-09-01,5.2429,56.0318
1922-10-01,5.5387,57.3224
1922-11-01,5.7806,58.908699999999996
1922-12-01,5.942,60.683299999999996
1923-01-01,5.8075,62.162000000000006
1923-02-01,5.8882,63.5332
1923-03-01,6.0764,64.8507
1923-04-01,6.2108,66.4639
1923-05-01,6.2915,67.9158
1923-06-01,6.2377,69.0719
1923-07-01,6.1839,70.1742
1923-08-01,6.0764,71.2766
1923-09-01,5.942,71.9757
1923-10-01,5.9151,72.35210000000001
1923-11-01,5.9151,72.4866
1923-12-01,5.7806,72.3252
1924-01-01,5.9151,72.4328
1924-02-01,6.0226,72.5672
1924-03-01,5.9151,72.4059
1924-04-01,5.7269,71.922
1924-05-01,5.4849,71.1154
1924-06-01,5.2429,70.1206
1924-07-01,5.1622,69.0989
1924-08-01,5.3505,68.37299999999999
1924-09-01,5.5387,67.9697
1924-10-01,5.6731,67.7277
1924-11-01,5.7806,67.5932
1924-12-01,5.942,67.7546
1925-01-01,6.1302,67.9697
1925-02-01,6.1302,68.0773
1925-03-01,6.1302,68.2924
1925-04-01,6.1839,68.74940000000001
1925-05-01,6.1571,69.4216
1925-06-01,6.1033,70.28200000000001
1925-07-01,6.2646,71.3844
1925-08-01,6.1571,72.191
1925-09-01,6.0764,72.7287
1925-10-01,6.3184,73.374
1925-11-01,6.4528,74.0462
1925-12-01,6.5335,74.6377
1926-01-01,6.4259,74.9334
1926-02-01,6.4259,75.2291
1926-03-01,6.5066,75.60549999999999
1926-04-01,6.5066,75.9282
1926-05-01,6.4528,76.2239
1926-06-01,6.5335,76.6541
1926-07-01,6.5604,76.9499
1926-08-01,6.641,77.43379999999999
1926-09-01,6.7486,78.106
